column_name,data_type,table
INI,varchar(65535),all_categories
ITEM,"decimal(38,9)",all_categories
VALUE_C,varchar(65535),all_categories
NAME,varchar(65535),all_categories
TITLE,varchar(65535),all_categories
ABBR,varchar(65535),all_categories
INTERNAL_ID,varchar(65535),all_categories
IS_ACTIVE_YN,varchar(65535),all_categories
DELETE_FLAG,bigint,all_categories
ETL_LOAD_TS,timestamp,all_categories
ALLERGY_ID,"decimal(38,9)",allergy
PAT_ID,varchar(65535),allergy
ALLERGEN_ID,"decimal(38,9)",allergy
DESCRIPTION,varchar(65535),allergy
REACTION,varchar(65535),allergy
DATE_NOTED,timestamp,allergy
STATUS,varchar(65535),allergy
ENTERED_DATE,timestamp,allergy
ENTRY_USER_ID,varchar(65535),allergy
SEVERITY_C,bigint,allergy
UPDATE_DATE,timestamp,allergy
CM_PHY_OWNER_ID,varchar(65535),allergy
CM_LOG_OWNER_ID,varchar(65535),allergy
ALLERGY_SEVERITY_C,bigint,allergy
ALRGY_STATUS_C,bigint,allergy
ALRGY_DLET_RSN_C,bigint,allergy
ALRGY_DLT_CMT,varchar(65535),allergy
CONTRA_EXP_DT,timestamp,allergy
ALRGY_ENTERED_DTTM,timestamp,allergy
ALLERGY_SYNONYM,varchar(65535),allergy
REC_ARCHIVED_YN,varchar(65535),allergy
ALLERGY_CERTAINTY_C,bigint,allergy
ALLERGY_SOURCE_C,bigint,allergy
ALLERGY_PAT_CSN,"decimal(38,9)",allergy
ALRGY_EST_START_DATE_VAL,varchar(65535),allergy
ALLERGY_NOTED_DATE_ACCURACY_C,bigint,allergy
ALRGY_TRANSMTL_UTC_DTTM,timestamp,allergy
DELETE_FLAG,bigint,allergy
ETL_LOAD_TS,timestamp,allergy
ALLERGY_ID,"decimal(38,9)",allergy_reactions
LINE,bigint,allergy_reactions
REACTION_C,bigint,allergy_reactions
UPDATE_DATE,timestamp,allergy_reactions
CM_PHY_OWNER_ID,varchar(65535),allergy_reactions
CM_LOG_OWNER_ID,varchar(65535),allergy_reactions
DELETE_FLAG,bigint,allergy_reactions
ETL_LOAD_TS,timestamp,allergy_reactions
TX_ID,"decimal(38,9)",arpb_transactions
POST_DATE,timestamp,arpb_transactions
SERVICE_DATE,timestamp,arpb_transactions
TX_TYPE_C,bigint,arpb_transactions
ACCOUNT_ID,"decimal(38,9)",arpb_transactions
DEBIT_CREDIT_FLAG,bigint,arpb_transactions
PATIENT_ID,varchar(65535),arpb_transactions
SERV_PROVIDER_ID,varchar(65535),arpb_transactions
BILLING_PROV_ID,varchar(65535),arpb_transactions
DEPARTMENT_ID,"decimal(38,9)",arpb_transactions
POS_ID,"decimal(38,9)",arpb_transactions
LOC_ID,"decimal(38,9)",arpb_transactions
SERVICE_AREA_ID,"decimal(38,9)",arpb_transactions
MODIFIER_ONE,varchar(65535),arpb_transactions
MODIFIER_TWO,varchar(65535),arpb_transactions
MODIFIER_THREE,varchar(65535),arpb_transactions
MODIFIER_FOUR,varchar(65535),arpb_transactions
PRIMARY_DX_ID,"decimal(38,9)",arpb_transactions
DX_TWO_ID,"decimal(38,9)",arpb_transactions
DX_THREE_ID,"decimal(38,9)",arpb_transactions
DX_FOUR_ID,"decimal(38,9)",arpb_transactions
DX_FIVE_ID,"decimal(38,9)",arpb_transactions
DX_SIX_ID,"decimal(38,9)",arpb_transactions
PROCEDURE_QUANTITY,"decimal(38,9)",arpb_transactions
AMOUNT,"decimal(38,9)",arpb_transactions
OUTSTANDING_AMT,"decimal(38,9)",arpb_transactions
INSURANCE_AMT,"decimal(38,9)",arpb_transactions
PATIENT_AMT,"decimal(38,9)",arpb_transactions
ZERO_BALANCE_YN,varchar(65535),arpb_transactions
CM_PHY_OWNER,varchar(65535),arpb_transactions
CM_LOG_OWNER,varchar(65535),arpb_transactions
VOID_DATE,timestamp,arpb_transactions
LAST_ACTION_DATE,timestamp,arpb_transactions
PROV_SPECIALTY_C,varchar(65535),arpb_transactions
PROC_ID,"decimal(38,9)",arpb_transactions
CPT_CODE,varchar(65535),arpb_transactions
TOTAL_MATCH_AMT,"decimal(38,9)",arpb_transactions
TOTAL_MTCH_INS_AMT,"decimal(38,9)",arpb_transactions
TOTAL_MTCH_ADJ,"decimal(38,9)",arpb_transactions
TOTAL_MTCH_INS_ADJ,"decimal(38,9)",arpb_transactions
RVU_TOTAL,"decimal(38,9)",arpb_transactions
RVU_WORK,"decimal(38,9)",arpb_transactions
RVU_OVERHEAD,"decimal(38,9)",arpb_transactions
RVU_MALPRACTICE,"decimal(38,9)",arpb_transactions
REPOST_ETR_ID,"decimal(38,9)",arpb_transactions
REPOST_TYPE_C,bigint,arpb_transactions
DISCOUNT_TYPE_C,bigint,arpb_transactions
ACTIVATIONRULE_ID,varchar(65535),arpb_transactions
SST_FEESCHED_ID,"decimal(38,9)",arpb_transactions
PAT_ENC_CSN_ID,"decimal(38,9)",arpb_transactions
ENC_FORM_NUM,varchar(65535),arpb_transactions
BENEFIT_PACKAGE_ID,"decimal(38,9)",arpb_transactions
BENEFIT_COMP_ID,varchar(65535),arpb_transactions
BEN_ADJ_TABLE_ID,"decimal(38,9)",arpb_transactions
BEN_ADJ_FORMULA_ID,"decimal(38,9)",arpb_transactions
BEN_SELF_PAY_AMT,"decimal(38,9)",arpb_transactions
BEN_ADJ_COPAY_AMT,"decimal(38,9)",arpb_transactions
BEN_ADJ_COINS_AMT,"decimal(38,9)",arpb_transactions
BEN_ADJ_DEDUCT_AMT,"decimal(38,9)",arpb_transactions
BEN_ADJ_METHOD_C,bigint,arpb_transactions
INS_BAL_NOFOL_YN,varchar(65535),arpb_transactions
VISIT_NUMBER,varchar(65535),arpb_transactions
REFERRAL_ID,"decimal(38,9)",arpb_transactions
ORIGINAL_EPM_ID,"decimal(38,9)",arpb_transactions
ORIGINAL_FC_C,varchar(65535),arpb_transactions
ORIGINAL_CVG_ID,"decimal(38,9)",arpb_transactions
PAYOR_ID,"decimal(38,9)",arpb_transactions
COVERAGE_ID,"decimal(38,9)",arpb_transactions
ASGN_YN,varchar(65535),arpb_transactions
FACILITY_ID,"decimal(38,9)",arpb_transactions
PAYMENT_SOURCE_C,bigint,arpb_transactions
USER_ID,varchar(65535),arpb_transactions
LATER_DIST_YN,varchar(65535),arpb_transactions
NOT_BILL_INS_YN,varchar(65535),arpb_transactions
CHG_ROUTER_SRC_ID,varchar(65535),arpb_transactions
CHGENTRY_CODER_ID,varchar(65535),arpb_transactions
RECEIVE_DATE,timestamp,arpb_transactions
CE_CODED_DATE,timestamp,arpb_transactions
PANEL_ID,"decimal(38,9)",arpb_transactions
REFUND_SOURCE_C,bigint,arpb_transactions
BILL_AREA_ID,"decimal(38,9)",arpb_transactions
IPP_AUTH_NUM,varchar(65535),arpb_transactions
CREDIT_SRC_MODULE_C,bigint,arpb_transactions
UPDATE_DATE,timestamp,arpb_transactions
STMT_INT_STATUS_C,bigint,arpb_transactions
STMT_INTER_WQ_ID,"decimal(38,9)",arpb_transactions
STMT_INTER_RULE_ID,varchar(65535),arpb_transactions
REC_ARCHIVED_YN,varchar(65535),arpb_transactions
CM_PHY_OWNER_ID,varchar(65535),arpb_transactions
CM_LOG_OWNER_ID,varchar(65535),arpb_transactions
CLAIM_DATE,timestamp,arpb_transactions
PERIOD,varchar(65535),arpb_transactions
IPP_INV_NUMBER,varchar(65535),arpb_transactions
IPP_INV_ID,"decimal(38,9)",arpb_transactions
IPP_CROSSOVR_PMT_YN,varchar(65535),arpb_transactions
PLB_PROV_ID,varchar(65535),arpb_transactions
PLB_FP_DATE,timestamp,arpb_transactions
PLB_REASON_CODE_C,varchar(65535),arpb_transactions
PLB_REFERENCE_NUM,varchar(65535),arpb_transactions
TX_BATCH_NUM,varchar(65535),arpb_transactions
DELETE_FLAG,bigint,arpb_transactions
ETL_LOAD_TS,timestamp,arpb_transactions
TX_ID,"decimal(38,9)",arpb_tx_moderate
CM_PHY_OWNER_ID,varchar(65535),arpb_tx_moderate
CM_LOG_OWNER_ID,varchar(65535),arpb_tx_moderate
RECONCILIATION_NUM,varchar(65535),arpb_tx_moderate
USER_BATCH_NUM,varchar(65535),arpb_tx_moderate
POST_BATCH_NUM,varchar(65535),arpb_tx_moderate
ORIGINATING_TAR_ID,"decimal(38,9)",arpb_tx_moderate
TX_NUM_IN_ACCT,bigint,arpb_tx_moderate
SOURCE_TAR_ID,"decimal(38,9)",arpb_tx_moderate
