Domain,Source System,Fully Qualified Table Name,Table Name,Source ID,Source Value,Maps To,Notes
Measurement,allscripts_tw,_exponent._bronze_allscripts_tw_works_vw.dbo_item_result,dbo_item_result,ID,QODE,measurement_concept_id,Measurement type code
Measurement,allscripts_tw,_exponent._bronze_allscripts_tw_works_vw.dbo_result,dbo_result,ID,UnitsDET,unit_source_value,Unit of measure
Measurement,allscripts_tw,_exponent._bronze_allscripts_tw_works_vw.dbo_result,dbo_result,ID,NumericResult,value_as_number,Numeric measurement value
Measurement,allscripts_scm,_exponent._bronze_allscripts_scm_prod01_vw.dbo_cv3observationcur,dbo_cv3observationcur,GUID,ObsItemGUID,measurement_concept_id,Observation item identifier
Measurement,allscripts_scm,_exponent._bronze_allscripts_scm_prod01_vw.dbo_cv3observationcur,dbo_cv3observationcur,GUID,UnitOfMeasure,unit_source_value,Unit of measure
Measurement,allscripts_scm,_exponent._bronze_allscripts_scm_prod01_vw.dbo_cv3observationcur,dbo_cv3observationcur,GUID,ValueText,value_as_number,Numeric values only (filtered by regex)
Measurement,epic_clarity,_exponent._bronze_epic_clarity.order_results,order_results,ORDER_PROC_ID,COMPONENT_ID_NAME,measurement_concept_id,Lab component name
Measurement,epic_clarity,_exponent._bronze_epic_clarity.order_results,order_results,ORDER_PROC_ID,REFERENCE_UNIT,unit_source_value,Unit of measure
Measurement,epic_clarity,_exponent._bronze_epic_clarity.order_results,order_results,ORDER_PROC_ID,ORD_VALUE,value_source_value,Result value
Measurement,epic_clarity,_exponent._bronze_epic_clarity.ip_flwsht_meas,ip_flwsht_meas,FSD_ID,FLO_MEAS_ID_DISP_NAME,measurement_concept_id,Flowsheet measurement name
Measurement,epic_clarity,_exponent._bronze_epic_clarity.ip_flwsht_meas,ip_flwsht_meas,FSD_ID,UNITS,unit_source_value,Unit of measure
Measurement,epic_clarity,_exponent._bronze_epic_clarity.ip_flwsht_meas,ip_flwsht_meas,FSD_ID,MEAS_VALUE_EXTERNAL,value_source_value,Measurement value
Observation,allscripts_tw,_exponent._bronze_allscripts_tw_works_vw.dbo_item_result,dbo_item_result,ID,QODE,observation_concept_id,Observation type code
Observation,allscripts_tw,_exponent._bronze_allscripts_tw_works_vw.dbo_result,dbo_result,ID,UnitsDET,unit_source_value,Unit of measure
Observation,allscripts_tw,_exponent._bronze_allscripts_tw_works_vw.dbo_result,dbo_result,ID,AnswerDET,value_as_string,Text answer value
Observation,allscripts_tw,_exponent._bronze_allscripts_tw_works_vw.dbo_result,dbo_result,ID,NumericResult,value_as_number,Numeric observation value
Observation,allscripts_tw,_exponent._bronze_allscripts_tw_works_vw.dbo_item_result,dbo_item_result,ID,DecodedValue,value_as_string,Decoded text value
Observation,allscripts_scm,_exponent._bronze_allscripts_scm_prod01_vw.dbo_cv3observationcur,dbo_cv3observationcur,GUID,ObsItemGUID,observation_concept_id,Observation item identifier
Observation,allscripts_scm,_exponent._bronze_allscripts_scm_prod01_vw.dbo_cv3observationcur,dbo_cv3observationcur,GUID,UnitOfMeasure,unit_source_value,Unit of measure
Observation,allscripts_scm,_exponent._bronze_allscripts_scm_prod01_vw.dbo_cv3observationcur,dbo_cv3observationcur,GUID,ValueText,value_as_string,Non-numeric values only (filtered by regex)
Observation,epic_clarity,_exponent._bronze_epic_clarity.patient_3,patient_3,PAT_ID,OCCUPATION,value_as_string,Patient occupation (hardcoded concept_id 4135376)
Observation,epic_clarity,_exponent._bronze_epic_clarity.pat_enc_2,pat_enc_2,PAT_ENC_CSN_ID,SMOKING_STATUS_C,observation_concept_id,Currently unpopulated
