id,status,table,field,description,percent_records_failed,num_records_failed,threshold,resolved,fix_description,validation_query,validation_result
1,FAIL,OBSERVATION_PERIOD,NA,"The number and percent of persons in the CDM that do not have at least one record in the OBSERVATION_PERIOD table",100.00,11953079,0%,NO,,,
2,FAIL,CONDITION_OCCURRENCE,NA,"The number and percent of persons in the CDM that do not have at least one record in the CONDITION_OCCURRENCE table",100.00,11953079,95%,NO,,,
3,FAIL,OBSERVATION,NA,"The number and percent of persons in the CDM that do not have at least one record in the OBSERVATION table",100.00,11953079,95%,NO,,,
4,FAIL,DRUG_ERA,NA,"The number and percent of persons in the CDM that do not have at least one record in the DRUG_ERA table",100.00,11953079,95%,NO,"Align drug_era ingredient mapping with dose_era pattern (drug_strength-first with concept_ancestor fallback) and rerun allscripts_scm_drug_era.","Run allscripts_scm_drug_era.ipynb then compare eligible_drug_exposure_rows vs drug_era_rows.","Post-fix rerun complete: eligible_drug_exposure_rows=91081396 and drug_era_rows=6127590 (no longer zero). Official DQD threshold outcome pending rerun."
5,FAIL,CONDITION_ERA,NA,"The number and percent of persons in the CDM that do not have at least one record in the CONDITION_ERA table",100.00,11953079,95%,NO,,,
6,FAIL,DEATH,PERSON_ID,"The number and percent of records that have a value in the PERSON_ID field in the DEATH table that does not exist in the PERSON table",100.00,153896,0%,NO,,,
7,FAIL,NOTE,PERSON_ID,"The number and percent of records that have a value in the PERSON_ID field in the NOTE table that does not exist in the PERSON table",100.00,26573,0%,NO,,,
8,FAIL,OBSERVATION,PERSON_ID,"The number and percent of records that have a value in the PERSON_ID field in the OBSERVATION table that does not exist in the PERSON table",100.00,15366368,0%,NO,,,
9,FAIL,OBSERVATION_PERIOD,PERSON_ID,"The number and percent of records that have a value in the PERSON_ID field in the OBSERVATION_PERIOD table that does not exist in the PERSON table",100.00,4701968,0%,NO,,,
10,FAIL,MEASUREMENT,MEASUREMENT_TYPE_CONCEPT_ID,"The number and percent of records that do not have a standard, valid concept in the MEASUREMENT_TYPE_CONCEPT_ID field in the MEASUREMENT table",100.00,35420317,0%,NO,,,
11,FAIL,NOTE,NOTE_CLASS_CONCEPT_ID,"The number and percent of records that do not have a standard, valid concept in the NOTE_CLASS_CONCEPT_ID field in the NOTE table",100.00,26573,0%,NO,,,
12,FAIL,NOTE,NOTE_TYPE_CONCEPT_ID,"The number and percent of records that do not have a standard, valid concept in the NOTE_TYPE_CONCEPT_ID field in the NOTE table",100.00,26573,0%,NO,,,
13,FAIL,DEVICE_EXPOSURE,DEVICE_SOURCE_CONCEPT_ID,"The number and percent of records with a value of 0 in the source concept field DEVICE_SOURCE_CONCEPT_ID in the DEVICE_EXPOSURE table",100.00,22,10%,NO,,,
14,FAIL,DRUG_EXPOSURE,DRUG_SOURCE_CONCEPT_ID,"The number and percent of records with a value of 0 in the source concept field DRUG_SOURCE_CONCEPT_ID in the DRUG_EXPOSURE table",100.00,147265919,10%,NO,,,
15,FAIL,MEASUREMENT,MEASUREMENT_SOURCE_CONCEPT_ID,"The number and percent of records with a value of 0 in the source concept field MEASUREMENT_SOURCE_CONCEPT_ID in the MEASUREMENT table",100.00,35420317,10%,NO,,,
16,FAIL,OBSERVATION,OBSERVATION_SOURCE_CONCEPT_ID,"The number and percent of records with a value of 0 in the source concept field OBSERVATION_SOURCE_CONCEPT_ID in the OBSERVATION table",100.00,15366368,10%,NO,,,
17,FAIL,PROCEDURE_OCCURRENCE,PROCEDURE_SOURCE_CONCEPT_ID,"The number and percent of records with a value of 0 in the source concept field PROCEDURE_SOURCE_CONCEPT_ID in the PROCEDURE_OCCURRENCE table",100.00,431138874,10%,NO,,,
