column_name,data_type,table
SiteID,int,dbo_cv3client
RepFlags,int,dbo_cv3client
Build,int,dbo_cv3client
TouchedBy,string,dbo_cv3client
TouchedWhen,timestamp,dbo_cv3client
CreatedBy,string,dbo_cv3client
CreatedWhen,timestamp,dbo_cv3client
Active,boolean,dbo_cv3client
GUID,"decimal(16,0)",dbo_cv3client
BirthDayNum,int,dbo_cv3client
BirthMonthNum,int,dbo_cv3client
BirthYearNum,int,dbo_cv3client
DeceasedDtm,timestamp,dbo_cv3client
DisplayName,string,dbo_cv3client
FirstName,string,dbo_cv3client
LastName,string,dbo_cv3client
MiddleName,string,dbo_cv3client
Title,string,dbo_cv3client
ReligionCode,string,dbo_cv3client
LanguageCode,string,dbo_cv3client
GenderCode,string,dbo_cv3client
RaceCode,string,dbo_cv3client
MaritalStatusCode,string,dbo_cv3client
OccupationCode,string,dbo_cv3client
IDCode,string,dbo_cv3client
IsTemporary,boolean,dbo_cv3client
CityOfBirth,string,dbo_cv3client
CountryDvsnOfBirth,string,dbo_cv3client
CountryOfBirth,string,dbo_cv3client
HouseholdGUID,"decimal(16,0)",dbo_cv3client
ApplicSource,string,dbo_cv3client
IsMaterialized,boolean,dbo_cv3client
IsPermanent,boolean,dbo_cv3client
IsVIP,boolean,dbo_cv3client
PrivacyStatusCode,string,dbo_cv3client
SecurityLevel,int,dbo_cv3client
MSrepl_tran_version,string,dbo_cv3client
BirthTime,string,dbo_cv3client
IsEstimatedDOB,boolean,dbo_cv3client
BirthTimeZone,string,dbo_cv3client
DeceasedTimeZone,string,dbo_cv3client
MSReplrowguid,string,dbo_cv3client
BirthDateINT,int,dbo_cv3client
SiteID,int,dbo_cv3clientdocdetail_bkp
RepFlags,int,dbo_cv3clientdocdetail_bkp
Build,int,dbo_cv3clientdocdetail_bkp
TouchedBy,string,dbo_cv3clientdocdetail_bkp
TouchedWhen,timestamp,dbo_cv3clientdocdetail_bkp
CreatedBy,string,dbo_cv3clientdocdetail_bkp
CreatedWhen,timestamp,dbo_cv3clientdocdetail_bkp
Active,boolean,dbo_cv3clientdocdetail_bkp
GUID,"decimal(16,0)",dbo_cv3clientdocdetail_bkp
ClientDocumentGUID,"decimal(16,0)",dbo_cv3clientdocdetail_bkp
ClientGUID,"decimal(16,0)",dbo_cv3clientdocdetail_bkp
DetailSeqNum,int,dbo_cv3clientdocdetail_bkp
HasExtendedText,boolean,dbo_cv3clientdocdetail_bkp
KTreeItemGUID,"decimal(16,0)",dbo_cv3clientdocdetail_bkp
KTreeItemName,string,dbo_cv3clientdocdetail_bkp
HeadingOne,string,dbo_cv3clientdocdetail_bkp
HeadingOneSeqNum,int,dbo_cv3clientdocdetail_bkp
HeadingTwo,string,dbo_cv3clientdocdetail_bkp
HeadingTwoSeqNum,int,dbo_cv3clientdocdetail_bkp
HeadingThree,string,dbo_cv3clientdocdetail_bkp
HeadingThreeSeqNum,int,dbo_cv3clientdocdetail_bkp
HeadingFour,string,dbo_cv3clientdocdetail_bkp
HeadingFourSeqNum,int,dbo_cv3clientdocdetail_bkp
CodingScheme,string,dbo_cv3clientdocdetail_bkp
CodingSchemeCode,string,dbo_cv3clientdocdetail_bkp
DocTextType,int,dbo_cv3clientdocdetail_bkp
IsSystemGenText,int,dbo_cv3clientdocdetail_bkp
MSrepl_tran_version,string,dbo_cv3clientdocdetail_bkp
SiteID,int,dbo_cv3clientdocumentcur
RepFlags,int,dbo_cv3clientdocumentcur
Build,int,dbo_cv3clientdocumentcur
TouchedBy,string,dbo_cv3clientdocumentcur
TouchedWhen,timestamp,dbo_cv3clientdocumentcur
CreatedBy,string,dbo_cv3clientdocumentcur
CreatedWhen,timestamp,dbo_cv3clientdocumentcur
Active,boolean,dbo_cv3clientdocumentcur
GUID,"decimal(16,0)",dbo_cv3clientdocumentcur
Entered,timestamp,dbo_cv3clientdocumentcur
Status,string,dbo_cv3clientdocumentcur
ToBeVerified,boolean,dbo_cv3clientdocumentcur
ToBeSigned,boolean,dbo_cv3clientdocumentcur
EnterRole,string,dbo_cv3clientdocumentcur
UserGUID,"decimal(16,0)",dbo_cv3clientdocumentcur
ClientVisitGUID,"decimal(16,0)",dbo_cv3clientdocumentcur
ClientGUID,"decimal(16,0)",dbo_cv3clientdocumentcur
ChartGUID,"decimal(16,0)",dbo_cv3clientdocumentcur
PatCareDocGUID,"decimal(16,0)",dbo_cv3clientdocumentcur
AuthoredProviderGUID,"decimal(16,0)",dbo_cv3clientdocumentcur
AuthoredDtm,timestamp,dbo_cv3clientdocumentcur
DocumentName,string,dbo_cv3clientdocumentcur
EntryType,int,dbo_cv3clientdocumentcur
HasBeenModified,boolean,dbo_cv3clientdocumentcur
IsCanceled,boolean,dbo_cv3clientdocumentcur
DocumentSource,string,dbo_cv3clientdocumentcur
ApplicationSource,string,dbo_cv3clientdocumentcur
KTreeRootGUID,"decimal(16,0)",dbo_cv3clientdocumentcur
TextType,int,dbo_cv3clientdocumentcur
FillerFacilityID,string,dbo_cv3clientdocumentcur
FillerDocumentID,string,dbo_cv3clientdocumentcur
ArrivalDtm,timestamp,dbo_cv3clientdocumentcur
HasMediaLink,int,dbo_cv3clientdocumentcur
CreatorType,int,dbo_cv3clientdocumentcur
CreatorGUID,"decimal(16,0)",dbo_cv3clientdocumentcur
HasMultipleAuthors,int,dbo_cv3clientdocumentcur
HasAuthorSigned,int,dbo_cv3clientdocumentcur
AuthorGroupCounter,int,dbo_cv3clientdocumentcur
MSrepl_tran_version,string,dbo_cv3clientdocumentcur
LocationGUID,"decimal(16,0)",dbo_cv3clientdocumentcur
IsIncomplete,boolean,dbo_cv3clientdocumentcur
IsResultsPending,boolean,dbo_cv3clientdocumentcur
IsImportant,boolean,dbo_cv3clientdocumentcur
IsDaylightSavings,int,dbo_cv3clientdocumentcur
HasImageType,int,dbo_cv3clientdocumentcur
ShiftDailyHourlyTotal,int,dbo_cv3clientdocumentcur
CanceledDtm,timestamp,dbo_cv3clientdocumentcur
FinalizedCareProviderGUID,"decimal(16,0)",dbo_cv3clientdocumentcur
ArcType,int,dbo_cv3clientdocumentcur
ServiceDtmUTC,timestamp,dbo_cv3clientdocumentcur
IsLocked,boolean,dbo_cv3clientdocumentcur
MSReplrowguid,string,dbo_cv3clientdocumentcur
DS4PStatus,string,dbo_cv3clientdocumentcur
ExchangeDocCategory,int,dbo_cv3clientdocumentcur
CommunityDocXML,string,dbo_cv3clientdocumentcur
CommunityFacility,string,dbo_cv3clientdocumentcur
SourceType,int,dbo_cv3clientdocumentcur
IsChartingInProgress,boolean,dbo_cv3clientdocumentcur
SendDocToPatientPortalType,int,dbo_cv3clientdocumentcur
DoNotSendToPortalReason,string,dbo_cv3clientdocumentcur
FDSCategoryType,int,dbo_cv3clientdocumentcur
FDSAvailableToPtEffDtmUTC,timestamp,dbo_cv3clientdocumentcur
SiteID,int,dbo_cv3clientvisit
RepFlags,int,dbo_cv3clientvisit
Build,int,dbo_cv3clientvisit
TouchedBy,string,dbo_cv3clientvisit
TouchedWhen,timestamp,dbo_cv3clientvisit
CreatedBy,string,dbo_cv3clientvisit
CreatedWhen,timestamp,dbo_cv3clientvisit
Active,boolean,dbo_cv3clientvisit
GUID,"decimal(16,0)",dbo_cv3clientvisit
VisitStatus,string,dbo_cv3clientvisit
InternalVisitStatus,string,dbo_cv3clientvisit
IsVIP,boolean,dbo_cv3clientvisit
ChartGUID,"decimal(16,0)",dbo_cv3clientvisit
ClientGUID,"decimal(16,0)",dbo_cv3clientvisit
AdmitDtm,timestamp,dbo_cv3clientvisit
DischargeDtm,timestamp,dbo_cv3clientvisit
CloseDtm,timestamp,dbo_cv3clientvisit
PlannedDischargeDtm,timestamp,dbo_cv3clientvisit
IDCode,string,dbo_cv3clientvisit
VisitIDCode,string,dbo_cv3clientvisit
TypeCode,string,dbo_cv3clientvisit
CareLevelCode,string,dbo_cv3clientvisit
ServiceGUID,"decimal(16,0)",dbo_cv3clientvisit
VisitTypeCareLevelGUID,"decimal(16,0)",dbo_cv3clientvisit
ClientDisplayName,string,dbo_cv3clientvisit
ProviderDisplayName,string,dbo_cv3clientvisit
CurrentLocation,string,dbo_cv3clientvisit
CurrentLocationGUID,"decimal(16,0)",dbo_cv3clientvisit
AdmitViaGUID,"decimal(16,0)",dbo_cv3clientvisit
NumUnackAlerts,int,dbo_cv3clientvisit
AmbulStatusCode,string,dbo_cv3clientvisit
ApplicSource,string,dbo_cv3clientvisit
