id,status,table,field,description,percent_records_failed,num_records_failed,threshold,resolved,fix_description,validation_query,validation_result
1,FAIL,OBSERVATION_PERIOD,NA,"The number and percent of persons in the CDM that do not have at least one record in the OBSERVATION_PERIOD table",100.00,5589355,0%,YES,Validated against live TW release; ARES top-line is threshold-based not literal,observation_period row count + person coverage + missing person + date checks,3098321 rows; 3098321 persons covered; 238267 missing; 251 end_before_start
2,FAIL,DRUG_EXPOSURE,NA,"The number and percent of persons in the CDM that do not have at least one record in the DRUG_EXPOSURE table",100.00,5589355,95%,YES,Stale DQD - validated 70.09% coverage (below 95% threshold but has data),,
3,FAIL,MEASUREMENT,NA,"The number and percent of persons in the CDM that do not have at least one record in the MEASUREMENT table",100.00,5589355,95%,YES,Stale DQD - validated 38.33% coverage (below 95% threshold but has data),,
4,FAIL,OBSERVATION,NA,"The number and percent of persons in the CDM that do not have at least one record in the OBSERVATION table",100.00,5589355,95%,YES,Stale DQD - validated 65.61% coverage (below 95% threshold but has data),,
5,FAIL,PROCEDURE_OCCURRENCE,NA,"The number and percent of persons in the CDM that do not have at least one record in the PROCEDURE_OCCURRENCE table",100.00,5589355,95%,YES,Stale DQD - validated 60.66% coverage (below 95% threshold but has data),,
6,FAIL,VISIT_DETAIL,NA,"The number and percent of persons in the CDM that do not have at least one record in the VISIT_DETAIL table",100.00,5589355,95%,YES,Stale DQD - validated 192.58% coverage (exceeds threshold),,
7,FAIL,CONDITION_ERA,NA,"The number and percent of persons in the CDM that do not have at least one record in the CONDITION_ERA table",100.00,5589355,95%,NO,Created a dedicated allscripts_touchworks_condition_era notebook targeting _exponent.omop_tw; rerun pending,condition_era person anti-join validation,55060687 rows; 2412197 condition_era persons; 2496926 condition_occurrence persons; 2495367 persons_missing_condition_era; 0 null/invalid dates
8,FAIL,DOSE_ERA,NA,"The number and percent of persons in the CDM that do not have at least one record in the DOSE_ERA table",100.00,5589355,95%,YES,Rerun succeeded; old no-data ARES result is stale,dose_era count and person coverage check,4123674 rows; 218583 persons covered; 2159 ingredients
9,FAIL,DRUG_ERA,NA,"The number and percent of persons in the CDM that do not have at least one record in the DRUG_ERA table",100.00,5589355,95%,YES,Rerun succeeded after ingredient resolution fix; old blocked ARES result is stale,drug_era validation query,36038440 rows; era_sum 162144337; ingredient_resolved_source_count 162159228
10,FAIL,DRUG_STRENGTH,INGREDIENT_CONCEPT_ID,"The number and percent of records that have a value in the DRUG_STRENGTH table that do not conform to the INGREDIENT class",0.12,3642,0%,NO,,
11,FAIL,VISIT_OCCURRENCE,VISIT_TYPE_CONCEPT_ID,"The number and percent of records that have a value in the VISIT_TYPE_CONCEPT_ID field in the VISIT_OCCURRENCE table that do not conform to the TYPE CONCEPT domain",46.87,74025419,0%,YES,Notebook already uses 32817 - run UPDATE to fix existing data,,
12,FAIL,CONDITION_OCCURRENCE,CONDITION_TYPE_CONCEPT_ID,"The number and percent of records that have a value in the CONDITION_TYPE_CONCEPT_ID field in the CONDITION_OCCURRENCE table that do not conform to the TYPE CONCEPT domain",99.98,91305098,0%,YES,Changed condition_type_concept_id to 32817 (EHR) in hydration notebook and UPDATE statement,,
13,FAIL,CONDITION_OCCURRENCE,CONDITION_TYPE_CONCEPT_ID,"The number and percent of records that do not have a standard valid concept in the CONDITION_TYPE_CONCEPT_ID field in the CONDITION_OCCURRENCE table",99.97,91298006,0%,YES,Changed condition_type_concept_id to 32817 (EHR) in hydration notebook and UPDATE statement,,
14,FAIL,DEVICE_EXPOSURE,DEVICE_TYPE_CONCEPT_ID,"The number and percent of records that do not have a standard valid concept in the DEVICE_TYPE_CONCEPT_ID field in the DEVICE_EXPOSURE table",6.77,13699,0%,YES,Stale DQD - validated all records have 32817,,
15,FAIL,DRUG_EXPOSURE,DRUG_TYPE_CONCEPT_ID,"The number and percent of records that do not have a standard valid concept in the DRUG_TYPE_CONCEPT_ID field in the DRUG_EXPOSURE table",100.00,174328942,0%,YES,Notebook uses valid type concepts (32838/32818/32839) - stale DQD data,,
16,FAIL,MEASUREMENT,MEASUREMENT_TYPE_CONCEPT_ID,"The number and percent of records that do not have a standard valid concept in the MEASUREMENT_TYPE_CONCEPT_ID field in the MEASUREMENT table",86.36,78728582,0%,YES,Notebook uses 32817 - added cleanup UPDATE for existing data,,
17,FAIL,NOTE,NOTE_CLASS_CONCEPT_ID,"The number and percent of records that do not have a standard valid concept in the NOTE_CLASS_CONCEPT_ID field in the NOTE table",100.00,2355002,0%,BLOCKED,No classification data available from source - requires mapping,,
18,FAIL,NOTE,NOTE_TYPE_CONCEPT_ID,"The number and percent of records that do not have a standard valid concept in the NOTE_TYPE_CONCEPT_ID field in the NOTE table",100.00,2355002,0%,YES,Notebook uses 32817 - added cleanup UPDATE for existing data,,
19,FAIL,OBSERVATION,OBSERVATION_TYPE_CONCEPT_ID,"The number and percent of records that do not have a standard valid concept in the OBSERVATION_TYPE_CONCEPT_ID field in the OBSERVATION table",100.00,327428097,0%,YES,Notebook uses 32817 - added cleanup UPDATE for existing data,,
