,column_name,data_type,table
0,ChargeID,"decimal(16,0)",dbo_charge_modifier
1,ModifierNumber,int,dbo_charge_modifier
2,BillingChargeModifierDE,"decimal(8,0)",dbo_charge_modifier
3,ID,"decimal(8,0)",dbo_cpt4_modifier_de
4,EnterpriseEntryID,"decimal(16,0)",dbo_cpt4_modifier_de
5,DefinitionSetID,"decimal(8,0)",dbo_cpt4_modifier_de
6,Entry,"decimal(8,0)",dbo_cpt4_modifier_de
7,EntryCode,string,dbo_cpt4_modifier_de
8,EntryName,string,dbo_cpt4_modifier_de
9,EntryMnemonic,string,dbo_cpt4_modifier_de
10,IsInactiveFLAG,string,dbo_cpt4_modifier_de
11,IsEnforcedFLAG,string,dbo_cpt4_modifier_de
12,IsCurrentFLAG,string,dbo_cpt4_modifier_de
13,EffectiveDT,timestamp,dbo_cpt4_modifier_de
14,ModifierType,string,dbo_cpt4_modifier_de
15,CCIFLAG,string,dbo_cpt4_modifier_de
16,IsGuidelines,boolean,dbo_cpt4_modifier_de
17,IsMedAdminAndOrder,boolean,dbo_cpt4_modifier_de
18,EncounterID,"decimal(16,0)",dbo_encounter_itemchild
19,ItemID,"decimal(16,0)",dbo_encounter_itemchild
20,ItemChildID,"decimal(16,0)",dbo_encounter_itemchild
21,ItemType,string,dbo_encounter_itemchild
22,EncounterDTTM,timestamp,dbo_encounter_itemchild
23,VerbList,string,dbo_encounter_itemchild
24,EncounterId,"decimal(16,0)",dbo_encounter_other
25,LastUpdatedDTTM,timestamp,dbo_encounter_other
26,IsTOCManuallyUpdated,boolean,dbo_encounter_other
27,TransactionDTTM,timestamp,dbo_interface_audit_appointment
28,Patientid,"decimal(16,0)",dbo_interface_audit_appointment
29,InterfaceSourceID,int,dbo_interface_audit_appointment
30,MRN,string,dbo_interface_audit_appointment
31,VisitNumberEXT,string,dbo_interface_audit_appointment
32,EncounterDTTM,timestamp,dbo_interface_audit_appointment
33,AppointmentStatusIn,string,dbo_interface_audit_appointment
34,AppointmentStatusForm,string,dbo_interface_audit_appointment
35,AppNumberEXT,string,dbo_interface_audit_appointment
36,VisitID,"decimal(16,0)",dbo_interface_audit_appointment
37,EncounterID,"decimal(16,0)",dbo_interface_audit_appointment
38,AppointmentID,"decimal(16,0)",dbo_interface_audit_appointment
39,Comment,string,dbo_interface_audit_appointment
40,ID,"decimal(16,0)",dbo_item_medication
41,ActivityHeaderID,"decimal(16,0)",dbo_item_medication
42,PatientID,"decimal(16,0)",dbo_item_medication
43,OrderItemEXT,string,dbo_item_medication
44,CurrentID,"decimal(16,0)",dbo_item_medication
45,QODE,"decimal(8,0)",dbo_item_medication
46,QODET,string,dbo_item_medication
47,QOMod1DE,"decimal(8,0)",dbo_item_medication
48,QOMod2DE,"decimal(8,0)",dbo_item_medication
49,QOMod3DE,"decimal(8,0)",dbo_item_medication
50,QOModDET,string,dbo_item_medication
51,QOClassificationDE,"decimal(8,0)",dbo_item_medication
52,QOClassificationDET,string,dbo_item_medication
53,DocFolderID,"decimal(16,0)",dbo_item_medication
54,EntryName,string,dbo_item_medication
55,CreateDTTM,timestamp,dbo_item_medication
56,LastUpdateDTTM,timestamp,dbo_item_medication
57,HasSecurityFLAG,string,dbo_item_medication
58,HasAnnotationFLAG,string,dbo_item_medication
59,IsAbnormalFLAG,string,dbo_item_medication
60,IsErrorFLAG,string,dbo_item_medication
61,DetailType,string,dbo_item_medication
62,ItemType,string,dbo_item_medication
63,DecodedValue,string,dbo_item_medication
64,PerformedDTTM,timestamp,dbo_item_medication
65,CommunitySourceID,string,dbo_item_medication
66,CommunitySourceName,string,dbo_item_medication
67,CommunityItemID,string,dbo_item_medication
68,ID,"decimal(16,0)",dbo_medication
69,ItemID,"decimal(16,0)",dbo_medication
70,NoteActivityID,"decimal(16,0)",dbo_medication
71,Unused_Med_Pointer,"decimal(8,0)",dbo_medication
72,MedicationStatusDE,"decimal(8,0)",dbo_medication
73,FormOfMedicationDE,"decimal(8,0)",dbo_medication
74,FreqUnitsDE,"decimal(8,0)",dbo_medication
75,Dose,string,dbo_medication
76,Refill,int,dbo_medication
77,RoutOfAdministrationDE,"decimal(8,0)",dbo_medication
78,PRNDE,"decimal(8,0)",dbo_medication
79,PRN,string,dbo_medication
80,PRNFLAG,string,dbo_medication
81,QuantityToDispense,string,dbo_medication
82,Disposition,string,dbo_medication
83,DaysToTake,int,dbo_medication
84,Instructions,string,dbo_medication
85,DAWFLAG,string,dbo_medication
86,WarningAcknowledgeFLAG,string,dbo_medication
87,WhoForID,"decimal(16,0)",dbo_medication
88,AdministeredByID,"decimal(16,0)",dbo_medication
89,PrescribedByID,"decimal(16,0)",dbo_medication
90,ReasonForCreateType,string,dbo_medication
91,PharmacyDE,"decimal(8,0)",dbo_medication
92,WhoDidItID,"decimal(16,0)",dbo_medication
93,PerformedFuzzyWhen,string,dbo_medication
94,PerformedFuzzySortAs,timestamp,dbo_medication
95,PerformedFuzzySpecificity,string,dbo_medication
96,RecordedDTTM,timestamp,dbo_medication
97,HistoryFuzzyDate,string,dbo_medication
98,NDC,string,dbo_medication
99,ScreenableFlag,string,dbo_medication
100,StartFuzzyWhen,string,dbo_medication
101,StartFuzzySortAs,timestamp,dbo_medication
102,StartFuzzySpecificity,string,dbo_medication
103,EndFuzzyWhen,string,dbo_medication
104,EndFuzzySortAs,timestamp,dbo_medication
105,EndFuzzySpecificity,string,dbo_medication
106,FreeTextSIGFLAG,string,dbo_medication
107,FreeTextSIG,string,dbo_medication
108,DateToAdminister,timestamp,dbo_medication
109,AdministrationComment,string,dbo_medication
110,AdministrationRequestedByID,"decimal(16,0)",dbo_medication
111,AdministrationBodySiteDE,"decimal(8,0)",dbo_medication
112,PrescriptionNumber,string,dbo_medication
113,DueDate,timestamp,dbo_medication
114,ICD9Code,string,dbo_medication
115,ExpirationDT,timestamp,dbo_medication
116,DaysSupply,int,dbo_medication
117,TransmissionStatus,string,dbo_medication
118,PrescribeActionDE,"decimal(8,0)",dbo_medication
119,PriorMedDE,"decimal(8,0)",dbo_medication
120,ReasonForFormularyOverride,string,dbo_medication
121,MedDictDE,"decimal(8,0)",dbo_medication
122,FreeTextPrescriber,string,dbo_medication
123,ProblemLinkList,string,dbo_medication
124,AuthorizedByID,"decimal(16,0)",dbo_medication
125,ALLSCRIP_SIG_CD,string,dbo_medication
126,PKG_TXT,string,dbo_medication
127,PKG_QTY,int,dbo_medication
128,PKG_SZ,double,dbo_medication
129,PKG_SZ_UM,string,dbo_medication
130,SiteDE,"decimal(8,0)",dbo_medication
131,SupervisedByID,"decimal(16,0)",dbo_medication
132,UseMedAuthTasking,string,dbo_medication
133,AdministrationLot,string,dbo_medication
134,VaccineManufacturerDE,"decimal(8,0)",dbo_medication
135,AdministrationRouteDE,"decimal(8,0)",dbo_medication
136,BrandMedDictDE,"decimal(8,0)",dbo_medication
137,AdministrationDose,string,dbo_medication
138,Creation_Type,string,dbo_medication
139,UseNonFormAuthTasking,string,dbo_medication
140,AdminStopDate,timestamp,dbo_medication
141,AdminSchedDays,string,dbo_medication
142,AdminSchedIntervals,string,dbo_medication
143,KOPFlag,string,dbo_medication
144,UserSaveAction,string,dbo_medication
145,SourceScriptMsgID,int,dbo_medication
146,Comments,string,dbo_medication
147,ResponseMsgType,string,dbo_medication
148,ResponseFreeText,string,dbo_medication
149,ResponseMsgCode,string,dbo_medication
150,ExpectedActionDE,"decimal(8,0)",dbo_medication
151,ExpectedActionDTTM,timestamp,dbo_medication
152,IsUnverifiedFLAG,string,dbo_medication
153,VerificationTaskOwnerID,"decimal(16,0)",dbo_medication
154,VerificationTaskOwnerType,string,dbo_medication
155,FormuID,int,dbo_medication
156,FormularyAlternativeLevel,int,dbo_medication
157,FormularyAlternativeSetting,int,dbo_medication
158,Samples,string,dbo_medication
159,SampleQuantity,double,dbo_medication
160,SampleQuantityUnits,string,dbo_medication
161,SampleManufacturerCode,"decimal(8,0)",dbo_medication
162,SampleLot,string,dbo_medication
163,SampleDTTM,timestamp,dbo_medication
164,SampleAdminister,string,dbo_medication
165,DateToAdministerFuzzyWhen,string,dbo_medication
166,DateToAdministerFuzzySpecificity,string,dbo_medication
167,PBMDE,"decimal(8,0)",dbo_medication
168,SplitRxParentItemID,"decimal(16,0)",dbo_medication
169,AdministrationDoseQty,double,dbo_medication
170,ProcessingType,string,dbo_medication
171,TSRX_ID,"decimal(16,0)",dbo_medication
172,PARChecked,string,dbo_medication
173,DrugDoseChecked,string,dbo_medication
174,DrugDrugChecked,string,dbo_medication
175,DuplicateTherapyChecked,string,dbo_medication
176,DrugHealthStateChecked,string,dbo_medication
177,VerifiedDTTM,timestamp,dbo_medication
178,DoNotFillBeforeDate,timestamp,dbo_medication
179,IsControlledSubstancePrint,string,dbo_medication
180,ControlSubstanceCode,string,dbo_medication
